Time - (hours),pH,COD,TSS,Electricity (mV)
1.382,6.7,19595.83,34.90708,0.593
1.382,6.7,19595.83,34.90708,0.593
3.309111,6.715417,19314.64,34.13463,9.128837
5.236222,6.730834,19037.49,33.37927,10.55009
7.163333,6.746251,18764.32,32.64062,7.764162
8.295,6.755304,18605.73,32.21451,5.336
9.090444,6.761668,18495.06,31.91833,3.678472
11.01756,6.777084,18229.67,31.21201,1.200429
11.06,6.777424,18223.86,31.19663,1.186
12.94467,6.792501,17968.08,30.52132,1.964605
14.747,6.80692,17726.83,29.8892,2.273
14.87178,6.807918,17710.25,29.84592,2.167354
16.59,6.821664,17483.49,29.25635,0.84
16.79889,6.823335,17456.12,29.18547,1.014317
18.433,6.836408,17243.49,28.63689,4.397
18.726,6.838752,17205.63,28.53963,4.935579
20.65311,6.854169,16958.74,27.90808,6.188669
22.58022,6.869586,16715.4,27.29051,4.846041
24.50733,6.885003,16475.54,26.6866,2.829365
24.885,6.888024,16428.94,26.56982,2.52
26.43444,6.90042,16239.13,26.09605,1.840227
28.36156,6.915836,16006.11,25.51858,1.974492
30.28867,6.931253,15776.43,24.95388,2.616422
32.21578,6.94667,15550.05,24.40168,3.147087
34.101,6.961752,15331.73,23.87331,2.964
34.14289,6.962087,15326.91,23.8617,2.947565
36.07,6.977504,15106.98,23.33367,1.856612
37.788,6.991248,14913.58,22.8728,1.383
37.99711,6.992921,14890.2,22.81732,1.427008
39.631,7.005992,14708.85,22.3885,2.223
39.92422,7.008338,14676.54,22.3124,2.351178
41.85133,7.023755,14465.94,21.81866,2.820808
43.318,7.035488,14307.69,21.45021,3.162
43.77844,7.039172,14258.36,21.33583,3.339348
45.70556,7.054588,14053.76,20.8637,4.247772
46.083,7.057608,14014.04,20.77245,4.397
47.63267,7.070005,13852.1,20.40201,4.762283
48.848,7.079728,13726.41,20.11611,4.891
49.55978,7.085422,13653.33,19.95053,4.956711
51.48689,7.100839,13457.42,19.50905,5.16831
53.414,7.116256,13264.31,19.07734,5.475788
53.456,7.116592,13260.13,19.06804,5.484
55.34111,7.131673,13073.97,18.65518,5.925243
56.221,7.138712,12987.98,18.46555,6.176
57.26822,7.14709,12886.37,18.24236,6.503524
59.19533,7.162507,12701.46,17.83868,7.111786
59.908,7.168208,12633.75,17.69167,7.312
61.12244,7.177924,12519.2,17.44393,7.612427
62.673,7.190328,12374.46,17.13267,8.053
63.04956,7.19334,12339.56,17.05792,8.190022
64.516,7.205072,12204.59,16.76991,8.696
64.97667,7.208757,12162.49,16.68045,8.794174
66.359,7.219816,12037.05,16.41484,9.19
66.90378,7.224174,11987.97,16.31133,9.511342
67.281,7.227192,11954.1,16.24004,9.733
68.83089,7.239591,11815.95,15.95038,10.15289
70.046,7.249312,11708.76,15.7269,10.277
70.758,7.255008,11646.4,15.59741,10.4262
72.68511,7.270425,11479.28,15.25226,10.986
72.811,7.271432,11468.45,15.22998,11.018
74.61222,7.285842,11314.56,14.91475,11.32073
76.53933,7.301259,11152.2,14.5847,11.50263
77.419,7.308296,11078.87,14.43648,11.611
78.46644,7.316676,10992.17,14.26196,11.79428
80.184,7.330416,10851.49,13.98033,12.105
80.39356,7.332092,10834.44,13.94636,12.13376
82.32067,7.347509,10678.98,13.63774,12.28969
84.24778,7.362926,10525.74,13.33595,12.36902
84.793,7.367288,10482.79,13.25179,12.401
86.17489,7.378343,10374.7,13.04084,12.52638
88.102,7.39376,10225.83,12.75227,12.7698
89.401,7.404152,10126.69,12.56136,12.945
90.02911,7.409177,10079.1,12.47007,13.02509
