Time in Hrs,COD
1.382,19595.83292
1.382,19595.83292
3.309111111,19314.64477
5.236222222,19037.49149
7.163333333,18764.31519
8.295,18605.72702
9.090444444,18495.0588
11.01755556,18229.66607
11.06,18223.86389
12.94466667,17968.08157
14.747,17726.83224
14.87177778,17710.25064
16.59,17483.48879
16.79888889,17456.11943
18.433,17243.48581
18.726,17205.63485
20.65311111,16958.74457
22.58022222,16715.39701
24.50733333,16475.54133
24.885,16428.94039
26.43444444,16239.12744
28.36155556,16006.10595
30.28866667,15776.42816
32.21577778,15550.04612
34.101,15331.72848
34.14288889,15326.91251
36.07,15106.98074
37.788,14913.57598
37.99711111,14890.20485
39.631,14708.85124
39.92422222,14676.53957
41.85133333,14465.94025
43.318,14307.68689
43.77844444,14258.36289
45.70555556,14053.76415
46.083,14014.03655
47.63266667,13852.10127
48.848,13726.41307
49.55977778,13653.33214
51.48688889,13457.41521
53.414,13264.30958
53.456,13260.13198
55.34111111,13073.97489
56.221,12987.9816
57.26822222,12886.37138
59.19533333,12701.45988
59.908,12633.75168
61.12244444,12519.20173
62.673,12374.45711
63.04955556,12339.55888
64.516,12204.58789
64.97666667,12162.4938
66.359,12037.05054
66.90377778,11987.96949
67.281,11954.10146
68.83088889,11815.9495
70.046,11708.756
70.758,11646.39788
72.68511111,11479.27923
72.811,11468.446
74.61222222,11314.55863
76.53933333,11152.20167
77.419,11078.8672
78.46644444,10992.17443
80.184,10851.48501
80.39355556,10834.44349
82.32066667,10678.97588
84.24777778,10525.73914
84.793,10482.78552
86.17488889,10374.70126
88.102,10225.83067
89.401,10126.68924
90.02911111,10079.09629
91.95622222,9934.467449
93.088,9850.497265
93.88333333,9791.913948
95.81044444,9651.406001
97.73755556,9512.914258
99.66466667,9376.409786
100.461,9320.576078
101.5917778,9241.864069
103.5188889,9109.249
104.147,9066.437764
105.446,8978.536877
107.3731111,8849.700391
109.3002222,8722.712631
109.677,8698.098493
111.2273333,8597.547066
113.1544444,8474.17755
115.0815556,8352.578312
115.207,8344.723623
117.0086667,8232.723947
117.972,8173.456877
118.9357778,8114.589419
120.8628889,7998.150049
122.581,7895.748402
122.79,7883.381512
124.7171111,7770.259833
126.267,7680.459973
126.6442222,7658.761381
128.5713333,7548.862863
130.4984444,7440.541321
132.4255556,7333.774126
133.641,7267.224453
134.3526667,7228.538976
136.2797778,7124.813885
138.2068889,7022.577185
139.171,6971.981246
140.134,6921.807519
142.0611111,6822.483836
143.9882222,6724.585387
144.7,6688.782956
145.9153333,6628.09172
147.8424444,6532.982678
149.7695556,6439.238392
150.23,6417.039907
151.6966667,6346.839279
153.6237778,6255.766037
155.5508889,6165.99964
155.76,6156.336876
157.478,6077.521335
159.4051111,5990.31264
161.29,5906.225344
161.3322222,5904.355335
163.134,5825.104491
163.2593333,5819.631466
165.1864444,5736.123331
167.1135556,5653.813488
167.742,5627.227883
169.0406667,5572.684739
170.9677778,5492.720139
172.8948889,5413.902981
174.194,5361.409665
174.822,5336.216801
176.7491111,5259.64537
178.6762222,5184.172692
179.724,5143.593387
180.6033333,5109.783001
182.5304444,5036.460756
184.4575556,4964.19064
186.3846667,4892.957555
187.097,4866.886634
188.3117778,4822.746622
190.2388889,4753.543173
192.166,4685.33275
192.166,4685.33275
