Time in hrs,Electricity output
1.382,0.593
1.382,0.593
3.309111111,9.128837128
5.236222222,10.55008748
7.163333333,7.764162183
8.295,5.336
9.090444444,3.678472346
11.01755556,1.20042909
11.06,1.186
12.94466667,1.964605466
14.747,2.273
14.87177778,2.167354225
16.59,0.84
16.79888889,1.014316947
18.433,4.397
18.726,4.935578743
20.65311111,6.188668988
22.58022222,4.846040759
24.50733333,2.829365028
24.885,2.52
26.43444444,1.840226696
28.36155556,1.974492395
30.28866667,2.616421604
32.21577778,3.147086737
34.101,2.964
34.14288889,2.947564615
36.07,1.856612466
37.788,1.383
37.99711111,1.427007894
39.631,2.223
39.92422222,2.35117845
41.85133333,2.820808461
43.318,3.162
43.77844444,3.33934819
45.70555556,4.247771672
46.083,4.397
47.63266667,4.762283441
48.848,4.891
49.55977778,4.956711
51.48688889,5.168310246
53.414,5.475787721
53.456,5.484
55.34111111,5.925242774
56.221,6.176
57.26822222,6.503523841
59.19533333,7.111785627
59.908,7.312
61.12244444,7.612426828
62.673,8.053
63.04955556,8.190021667
64.516,8.696
64.97666667,8.794173995
66.359,9.19
66.90377778,9.511341893
67.281,9.733
68.83088889,10.15289219
70.046,10.277
70.758,10.42620037
72.68511111,10.98600236
72.811,11.018
74.61222222,11.32073153
76.53933333,11.50262799
77.419,11.611
78.46644444,11.79427875
80.184,12.105
80.39355556,12.13376401
82.32066667,12.28969306
84.24777778,12.36902222
84.793,12.401
86.17488889,12.52637907
88.102,12.76979669
89.401,12.945
90.02911111,13.02508771
91.95622222,13.239768
93.088,13.34
93.88333333,13.3977143
95.81044444,13.5071117
97.73755556,13.60271431
99.66466667,13.72096393
100.461,13.785
101.5917778,13.89521728
103.5188889,14.11016156
104.147,14.18
105.446,14.31477236
107.3731111,14.49180479
109.3002222,14.64606175
109.677,14.674
111.2273333,14.78026694
113.1544444,14.87946002
115.0815556,14.92085376
115.207,14.921
117.0086667,14.90827798
117.972,14.921
118.9357778,14.97004232
120.8628889,15.15474795
122.581,15.366
122.79,15.3919692
124.7171111,15.61595137
126.267,15.761
126.6442222,15.7895657
128.5713333,15.90081489
130.4984444,15.98283768
132.4255556,16.07496389
133.641,16.156
134.3526667,16.21578814
136.2797778,16.40936724
138.2068889,16.61110513
139.171,16.7
140.134,16.77422741
142.0611111,16.88614172
143.9882222,16.96846344
144.7,16.996
145.9153333,17.04464831
147.8424444,17.14281596
149.7695556,17.29439732
150.23,17.342
151.6966667,17.51760685
153.6237778,17.71918666
155.5508889,17.75020492
155.76,17.737
157.478,17.54136761
159.4051111,17.46775664
161.29,18.034
161.3322222,18.05776623
163.134,19.219
163.2593333,19.2816947
165.1864444,19.68116398
167.1135556,19.49151655
167.742,19.417
169.0406667,19.35508653
170.9677778,19.43994991
172.8948889,19.61406458
174.194,19.713
174.822,19.74181235
176.7491111,19.76164975
178.6762222,19.72916135
179.724,19.713
180.6033333,19.70891904
182.5304444,19.72662503
184.4575556,19.7644151
186.3846667,19.80211844
187.097,19.812
188.3117778,19.81956425
190.2388889,19.7965817
192.166,19.713
192.166,19.713
